Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Atalanta,32,31.0,805,25.97,600,68,45,61,20,11,105,3.39,84,4,3,11,3
Bologna,30,30.0,734,24.47,529,66,35,45,39,20,89,2.97,64,3,3,9,7
Cagliari,26,31.0,633,20.42,435,76,32,56,29,5,53,1.71,41,2,1,4,4
Como,38,31.0,738,23.81,536,70,38,52,31,11,60,1.94,50,1,4,3,0
Empoli,34,31.0,505,16.29,360,39,35,30,27,14,37,1.19,25,1,5,3,2
Fiorentina,34,31.0,651,21.0,467,49,43,41,40,11,80,2.58,50,7,7,8,8
Genoa,34,31.0,572,18.45,396,71,18,41,37,9,48,1.55,34,6,0,6,2
Hellas Verona,32,31.0,534,17.23,385,52,28,33,25,11,41,1.32,25,4,3,5,2
Inter,25,31.0,881,28.42,672,81,27,55,34,12,115,3.71,89,7,4,8,6
Juventus,29,31.0,722,23.29,546,43,45,48,26,14,75,2.42,52,4,8,7,2
Lazio,27,31.0,764,24.65,562,49,46,61,28,18,88,2.84,66,3,7,7,4
Lecce,30,31.0,650,20.97,471,61,32,36,37,13,39,1.26,32,2,0,3,2
Milan,34,31.0,848,27.35,628,56,61,53,34,16,84,2.71,56,4,5,10,6
Monza,35,31.0,466,15.03,345,46,20,26,26,3,39,1.26,31,3,1,4,0
Napoli,26,30.0,706,23.53,538,59,32,45,21,11,77,2.57,56,4,4,6,6
Parma,32,31.0,646,20.84,479,49,41,31,34,12,61,1.97,39,5,6,6,4
Roma,28,31.0,778,25.1,573,68,30,57,41,9,78,2.52,56,2,4,8,6
Torino,28,31.0,526,16.97,397,43,20,35,25,6,54,1.74,36,6,4,3,4
Udinese,29,31.0,603,19.45,437,56,28,43,24,15,54,1.74,30,3,5,11,3
Venezia,36,31.0,547,17.65,398,52,27,29,34,7,35,1.13,17,4,1,6,7
