Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Atalanta,3,31,31,2790,31.0,30,0.97,113,85,74.3,17,7,7,12,38.7,1,1,0,0
Bologna,2,30,30,2700,30.0,34,1.13,82,49,61.0,15,11,4,10,33.3,3,2,1,0
Cagliari,3,31,31,2790,31.0,44,1.42,128,84,70.3,7,9,15,5,16.1,6,6,0,0
Como,3,31,31,2790,31.0,48,1.55,117,69,65.0,8,9,14,3,9.7,7,7,0,0
Empoli,3,31,31,2790,31.0,47,1.52,132,85,65.2,4,12,15,6,19.4,3,1,1,1
Fiorentina,2,31,31,2790,31.0,32,1.03,124,91,75.0,15,7,9,11,35.5,3,1,2,0
Genoa,2,31,31,2790,31.0,38,1.23,121,83,73.6,9,11,11,10,32.3,8,6,2,0
Hellas Verona,2,31,31,2790,31.0,59,1.9,150,91,61.3,9,4,18,7,22.6,3,1,1,1
Inter,2,31,31,2790,31.0,30,0.97,106,76,73.6,20,8,3,13,41.9,3,2,1,0
Juventus,2,31,31,2790,31.0,29,0.94,95,66,74.7,14,14,3,15,48.4,5,5,0,0
Lazio,2,31,31,2790,31.0,42,1.35,96,56,60.4,16,7,8,7,22.6,4,4,0,0
Lecce,1,31,31,2790,31.0,50,1.61,148,100,70.9,6,8,17,7,22.6,9,7,1,1
Milan,2,31,31,2790,31.0,37,1.19,117,82,69.2,13,9,9,10,32.3,2,1,1,0
Monza,2,31,31,2790,31.0,55,1.77,149,94,64.4,2,9,20,3,9.7,4,2,2,0
Napoli,2,30,30,2700,30.0,24,0.8,83,58,72.3,19,7,4,13,43.3,4,1,2,1
Parma,2,31,31,2700,31.0,51,1.7,132,83,65.2,5,12,14,4,12.9,5,5,0,0
Roma,1,31,31,2790,31.0,31,1.0,125,95,78.4,15,8,8,12,38.7,4,4,0,0
Torino,2,31,31,2790,31.0,36,1.16,146,108,76.0,9,13,9,9,29.0,5,1,4,0
Udinese,3,31,31,2790,31.0,42,1.35,130,93,73.1,11,7,13,8,25.8,8,7,0,1
Venezia,3,31,31,2790,31.0,44,1.42,160,118,77.5,3,12,16,5,16.1,9,8,1,0
