Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels
Atalanta,32,31.0,57,1,1,356,329,46,639,242,297,4,1,2,1447,460,370
Bologna,30,30.0,46,3,1,442,463,47,555,207,277,6,3,2,1251,452,483
Cagliari,26,31.0,58,3,3,423,322,53,630,216,253,2,6,0,1247,520,508
Como,38,31.0,73,6,3,418,420,55,481,228,349,1,7,0,1279,387,400
Empoli,34,31.0,53,4,1,454,366,48,472,269,338,3,3,1,1239,468,567
Fiorentina,34,31.0,65,2,2,347,443,73,476,221,263,6,3,1,1153,416,418
Genoa,34,31.0,61,0,0,394,354,51,556,253,329,1,8,2,1214,556,588
Hellas Verona,32,31.0,80,8,5,459,292,46,443,277,353,1,3,1,1155,527,547
Inter,25,31.0,44,1,1,343,334,78,632,191,237,5,3,1,1175,504,353
Juventus,29,31.0,52,1,1,390,314,36,518,169,286,2,5,0,1222,359,370
Lazio,27,31.0,72,4,2,348,397,33,661,252,267,4,4,2,1181,387,393
Lecce,30,31.0,50,5,0,380,361,45,509,238,322,2,9,3,1247,538,509
Milan,34,31.0,60,5,1,344,352,53,565,195,288,7,2,3,1130,363,331
Monza,35,31.0,75,3,2,435,431,40,537,250,251,0,4,2,1083,493,519
Napoli,26,30.0,36,0,0,327,340,44,548,220,265,4,4,1,1163,407,339
Parma,32,31.0,62,5,2,314,371,27,346,227,232,5,5,2,1113,378,397
Roma,28,31.0,56,1,1,333,393,56,526,241,267,5,4,1,1208,364,371
Torino,28,31.0,68,3,1,399,314,48,529,235,205,2,5,2,1047,423,484
Udinese,29,31.0,72,4,2,434,325,42,558,254,287,2,8,5,1181,453,403
Venezia,36,31.0,65,1,1,396,359,49,433,227,297,4,9,3,1174,399,504
