Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes
Atalanta,32,31.0,17432,16026,1360,382,40,98,639,581,153,73,55,0,14547,46
Bologna,30,30.0,15458,13961,1450,505,36,112,555,598,136,34,75,0,12585,47
Cagliari,26,31.0,13053,11501,1499,395,21,48,630,603,151,36,107,0,9979,53
Como,38,31.0,15582,14052,1475,493,34,78,481,614,134,37,56,0,12900,55
Empoli,34,31.0,11283,9721,1514,399,31,48,472,624,132,52,42,0,8184,48
Fiorentina,34,31.0,13878,12352,1453,485,22,83,476,538,122,54,35,1,11167,73
Genoa,34,31.0,12876,11382,1443,407,34,48,556,597,128,49,69,0,9837,51
Hellas Verona,32,31.0,10885,9542,1297,334,24,76,443,485,126,59,50,1,8027,46
Inter,25,31.0,18224,16862,1284,367,71,106,632,518,190,50,106,1,15625,78
Juventus,29,31.0,17966,16649,1281,341,35,90,518,538,148,71,63,0,15564,36
Lazio,27,31.0,15759,14284,1442,427,54,98,661,540,181,105,39,0,13253,33
Lecce,30,31.0,12711,11173,1493,424,32,69,509,609,131,47,63,0,9789,45
Milan,34,31.0,15588,14170,1365,435,67,70,565,453,185,114,16,0,13286,53
Monza,35,31.0,14005,12527,1438,470,23,67,537,511,110,35,60,0,11312,40
Napoli,26,30.0,15649,14226,1379,377,38,73,548,568,172,106,40,2,13171,44
Parma,32,31.0,13333,11854,1452,465,38,63,346,494,147,46,21,1,10677,27
Roma,28,31.0,17021,15555,1410,424,43,76,526,578,139,55,58,2,14310,56
Torino,28,31.0,13947,12541,1358,358,26,66,529,548,121,76,34,0,11143,48
Udinese,29,31.0,13397,11968,1387,400,19,77,558,552,145,42,66,1,10660,42
Venezia,36,31.0,12354,10780,1525,425,32,71,433,634,111,47,35,0,9422,49
