Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Atalanta,32,31.0,14547,17432,83.4,252895,80200,6552,7271,90.1,6481,7343,88.3,1233,2052,60.1,42,36.8,37.8,5.2,347,1145,314,94
Bologna,30,30.0,12585,15458,81.4,236093,78351,4955,5577,88.8,6042,6839,88.3,1363,2380,57.3,37,28.3,24.3,8.7,310,1102,240,88
Cagliari,26,31.0,9979,13053,76.4,180444,73208,4372,5041,86.7,4453,5296,84.1,994,2062,48.2,23,26.1,24.3,-3.1,254,758,199,77
Como,38,31.0,12900,15582,82.8,218094,76850,6139,6754,90.9,5325,6015,88.5,1065,1937,55.0,29,29.0,23.9,0.0,327,892,221,50
Empoli,34,31.0,8184,11283,72.5,149962,60298,3308,4005,82.6,3674,4486,81.9,921,2053,44.9,14,19.0,15.6,-5.0,213,629,162,54
Fiorentina,34,31.0,11167,13878,80.5,207453,73544,4504,5084,88.6,5175,5947,87.0,1253,2187,57.3,31,27.8,22.9,3.2,270,775,195,59
Genoa,34,31.0,9837,12876,76.4,181046,67459,3925,4592,85.5,4650,5484,84.8,1016,2054,49.5,21,23.5,19.4,-2.5,246,631,174,64
Hellas Verona,32,31.0,8027,10885,73.7,146420,56940,3563,4177,85.3,3368,4028,83.6,883,2054,43.0,17,21.3,17.2,-4.3,231,667,156,49
Inter,25,31.0,15625,18224,85.7,278151,87825,6657,7301,91.2,7253,8026,90.4,1442,2169,66.5,50,41.0,41.6,9.0,370,1134,338,99
Juventus,29,31.0,15564,17966,86.6,270220,81196,7037,7633,92.2,7050,7706,91.5,1216,1981,61.4,30,28.9,27.1,1.1,309,1161,242,59
Lazio,27,31.0,13253,15759,84.1,239516,78236,5609,6167,91.0,6099,6794,89.8,1308,2156,60.7,37,31.0,27.4,6.0,324,1049,248,74
Lecce,30,31.0,9789,12711,77.0,181946,68946,4094,4712,86.9,4264,5034,84.7,1220,2320,52.6,17,20.7,17.6,-3.7,271,700,192,82
Milan,34,31.0,13286,15588,85.2,235289,78409,5663,6264,90.4,6312,6967,90.6,1093,1798,60.8,32,38.4,32.9,-6.4,372,1040,286,68
Monza,35,31.0,11312,14005,80.8,206343,70707,4690,5293,88.6,5218,5942,87.8,1179,2107,56.0,16,16.4,15.1,-0.4,194,696,157,58
Napoli,26,30.0,13171,15649,84.2,231372,76387,5785,6413,90.2,5943,6623,89.7,1173,1868,62.8,32,30.9,28.0,1.1,310,986,250,58
Parma,32,31.0,10677,13333,80.1,189996,69716,4591,5216,88.0,4788,5500,87.1,1007,1951,51.6,26,23.8,19.1,2.2,274,770,184,50
Roma,28,31.0,14310,17021,84.1,248266,78928,6338,7001,90.5,6420,7136,90.0,1199,2126,56.4,27,29.3,28.0,-2.3,322,1041,264,67
Torino,28,31.0,11143,13947,79.9,203227,69775,4677,5366,87.2,5108,5815,87.8,1139,2160,52.7,21,17.4,20.3,3.6,217,771,191,63
Udinese,29,31.0,10660,13397,79.6,198505,68123,4284,4875,87.9,4841,5616,86.2,1285,2254,57.0,24,21.7,20.8,2.3,244,790,202,92
Venezia,36,31.0,9422,12354,76.3,163637,62357,4196,4862,86.3,4198,5007,83.8,789,1773,44.5,12,16.6,16.9,-4.6,229,633,178,48
