Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG)
Atalanta,32,27.8,31,2790,90,100,31.0,341,79,191,150,25,209,1.87,63,30,33,1.06,51.9,30.6,21.2
Bologna,30,27.0,30,2700,90,100,30.0,330,81,182,145,21,270,1.87,50,34,16,0.53,41.2,28.5,12.8
Cagliari,26,27.4,31,2790,90,100,31.0,341,80,189,149,22,254,0.97,31,44,-13,-0.42,35.8,46.1,-10.4
Como,38,27.0,31,2790,90,100,31.0,341,81,187,152,18,247,1.06,39,48,-9,-0.29,36.7,34.3,2.4
Empoli,34,26.2,31,2790,90,100,31.0,341,82,197,141,19,227,0.77,24,47,-23,-0.74,26.8,41.5,-14.7
Fiorentina,34,26.9,31,2790,90,100,31.0,341,81,192,147,21,212,1.68,49,32,17,0.55,40.0,35.2,4.8
Genoa,34,27.1,31,2790,90,100,31.0,341,81,206,137,22,267,1.23,29,38,-9,-0.29,31.9,38.2,-6.3
Hellas Verona,32,25.8,31,2790,90,100,31.0,341,80,188,147,23,298,1.0,30,59,-29,-0.94,29.0,46.0,-17.0
Inter,25,30.1,31,2790,90,100,31.0,341,80,188,154,22,222,2.19,69,30,39,1.26,57.2,27.6,29.6
Juventus,29,25.4,31,2790,90,100,31.0,341,82,211,131,20,166,1.81,47,29,18,0.58,42.1,28.4,13.8
Lazio,27,27.9,31,2790,90,100,31.0,341,80,194,144,22,185,1.77,52,42,10,0.32,46.1,33.4,12.7
Lecce,30,26.7,31,2790,90,100,31.0,341,81,202,135,22,277,0.84,22,50,-28,-0.9,28.8,48.7,-19.9
Milan,34,26.4,31,2790,90,100,31.0,341,81,208,131,22,225,1.55,47,37,10,0.32,53.9,34.9,19.0
Monza,35,27.6,31,2790,90,100,31.0,341,82,200,138,20,247,0.48,25,55,-30,-0.97,24.1,43.8,-19.7
Napoli,26,29.3,30,2700,90,100,30.0,330,85,206,124,13,217,2.13,47,24,23,0.77,42.1,24.5,17.6
Parma,32,24.6,31,2790,90,100,31.0,341,78,190,152,26,223,0.87,37,51,-14,-0.45,36.0,50.5,-14.4
Roma,28,27.3,31,2790,90,100,31.0,341,81,202,139,23,254,1.71,46,31,15,0.48,45.3,32.9,12.4
Torino,28,27.4,31,2790,90,100,31.0,341,80,193,145,22,210,1.29,36,36,0,0.0,27.1,41.0,-13.9
Udinese,29,27.1,31,2790,90,100,31.0,341,80,188,149,21,232,1.29,36,42,-6,-0.19,31.0,41.0,-10.0
Venezia,36,26.1,31,2790,90,100,31.0,341,81,189,152,19,253,0.68,24,44,-20,-0.65,27.6,47.6,-20.0
