Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving
Atalanta,32,55.8,31.0,20708,1606,5628,9480,5777,874,20702,524,209,39.9,269,51.3,12749,67529,34922,740,578,202,484,310,14446
Bologna,30,58.0,30.0,18665,1667,5334,8866,4636,655,18658,454,184,40.5,217,47.8,11076,57265,27119,526,343,131,473,291,12452
Cagliari,26,45.6,31.0,16323,2087,6297,6743,3449,544,16320,459,196,42.7,221,48.1,8703,43593,21353,415,274,93,448,254,9885
Como,38,54.2,31.0,18877,1901,6346,8419,4280,634,18875,510,224,43.9,227,44.5,11509,57946,28777,537,375,159,470,302,12752
Empoli,34,40.9,31.0,14873,1990,5518,6541,2989,454,14870,412,179,43.4,192,46.6,6836,35096,16483,343,225,90,468,296,8098
Fiorentina,34,49.3,31.0,17068,1949,5836,7832,3574,553,17060,497,221,44.5,214,43.1,9949,53587,25987,503,375,135,443,252,11050
Genoa,34,45.8,31.0,16458,2041,6039,7216,3350,550,16456,406,151,37.2,213,52.5,7945,42987,20735,384,286,92,496,244,9746
Hellas Verona,32,38.0,31.0,14328,1717,4983,6456,3063,440,14326,441,194,44.0,206,46.7,7146,39344,18298,373,267,90,418,218,7957
Inter,25,59.5,31.0,21198,1941,6029,9957,5358,872,21191,332,124,37.3,167,50.3,13085,65555,32896,566,474,127,344,194,15501
Juventus,29,58.4,31.0,21106,1857,6385,10160,4730,668,21101,548,267,48.7,242,44.2,13030,74724,38728,678,454,173,456,235,15418
Lazio,27,54.2,31.0,18739,1892,5635,8900,4414,740,18733,531,260,49.0,213,40.1,10851,62696,32245,639,478,163,387,266,13153
Lecce,30,44.9,31.0,16258,2100,6021,7093,3341,507,16255,451,190,42.1,208,46.1,8124,44552,21557,442,290,104,463,238,9677
Milan,34,54.6,31.0,18641,1583,5627,8504,4708,822,18633,595,285,47.9,259,43.5,11523,66892,37265,793,541,235,413,228,13132
Monza,35,47.7,31.0,17136,2316,6648,7404,3234,396,17133,434,192,44.2,193,44.5,10249,52050,24908,423,332,73,435,283,11201
Napoli,26,53.5,30.0,18709,1717,5685,8881,4303,689,18704,503,198,39.4,248,49.3,10454,54809,28209,583,365,166,371,271,13057
Parma,32,45.2,31.0,16654,2190,5858,7109,3876,545,16647,514,217,42.2,242,47.1,9679,50057,25827,514,367,145,444,249,10548
Roma,28,55.4,31.0,20166,1925,5899,9548,4884,723,20159,445,163,36.6,210,47.2,11718,60924,30231,580,490,135,457,230,14175
Torino,28,47.6,31.0,16946,1976,5727,7810,3543,473,16943,367,130,35.4,197,53.7,9934,51537,25589,431,316,85,385,219,11013
Udinese,29,47.2,31.0,16724,1999,5830,7515,3568,565,16720,516,236,45.7,242,46.9,9248,49460,24133,456,346,96,462,244,10516
Venezia,36,44.6,31.0,15862,2220,5888,6672,3485,509,15856,492,206,41.9,236,48.0,8652,45781,22997,407,304,97,501,328,9308
