Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected
Atalanta,32,31.0,61,448,154,34.4,14.45,4.97,0.13,0.37,15.0,5,4,6,51.9,47.2,0.11,9.1
Bologna,30,30.0,49,407,139,34.2,13.57,4.63,0.11,0.31,17.6,16,6,7,41.2,35.7,0.09,7.8
Cagliari,26,31.0,29,358,95,26.5,11.55,3.06,0.07,0.27,16.0,7,3,3,35.8,33.4,0.1,-6.8
Como,38,31.0,34,418,143,34.2,13.48,4.61,0.08,0.24,17.9,13,0,2,36.7,35.2,0.09,-2.7
Empoli,34,31.0,23,290,82,28.3,9.35,2.65,0.07,0.26,18.8,13,2,3,26.8,24.4,0.09,-3.8
Fiorentina,34,31.0,47,356,130,36.5,11.48,4.19,0.12,0.32,17.8,15,6,8,40.0,33.7,0.1,7.0
Genoa,34,31.0,28,331,97,29.3,10.68,3.13,0.08,0.29,17.7,14,0,2,31.9,30.2,0.09,-3.9
Hellas Verona,32,31.0,27,311,81,26.0,10.03,2.61,0.08,0.31,17.5,10,2,2,29.0,27.4,0.09,-2.0
Inter,25,31.0,66,487,156,32.0,15.71,5.03,0.12,0.38,16.3,15,6,7,57.2,52.0,0.11,8.8
Juventus,29,31.0,45,409,146,35.7,13.19,4.71,0.1,0.27,17.3,9,5,5,42.1,38.3,0.09,2.9
Lazio,27,31.0,51,422,146,34.6,13.61,4.71,0.11,0.32,17.9,12,5,6,46.1,41.6,0.1,4.9
Lecce,30,31.0,22,374,96,25.7,12.06,3.1,0.05,0.21,19.2,18,2,3,28.8,26.6,0.07,-6.8
Milan,34,31.0,46,464,156,33.6,14.97,5.03,0.09,0.27,17.8,5,4,8,53.9,47.7,0.11,-7.9
Monza,35,31.0,24,265,78,29.4,8.55,2.52,0.08,0.27,18.3,14,3,3,24.1,22.0,0.09,-0.1
Napoli,26,30.0,44,397,115,29.0,13.23,3.83,0.1,0.35,16.5,7,4,5,42.1,38.3,0.1,1.9
Parma,32,31.0,36,358,111,31.0,11.55,3.58,0.08,0.27,19.7,17,6,7,36.0,30.5,0.09,0.0
Roma,28,31.0,45,429,133,31.0,13.84,4.29,0.09,0.29,18.0,14,7,7,45.3,39.8,0.1,-0.3
Torino,28,31.0,33,298,102,34.2,9.61,3.29,0.11,0.31,18.4,11,1,3,27.1,24.8,0.09,5.9
Udinese,29,31.0,36,342,109,31.9,11.03,3.52,0.1,0.31,17.3,9,2,4,31.0,27.8,0.08,5.0
Venezia,36,31.0,23,307,94,30.6,9.9,3.03,0.06,0.2,18.8,16,4,5,27.6,23.7,0.08,-4.6
