Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Atalanta,32,27.8,55.8,31,341,2790,31.0,61,42,103,57,4,6,57,1,51.9,47.2,36.8,84.0,740,1487,1.97,1.35,3.32,1.84,3.19,1.67,1.19,2.86,1.52
Bologna,30,27.0,58.0,30,330,2700,30.0,49,37,86,43,6,7,46,3,41.2,35.7,28.3,64.0,526,1184,1.63,1.23,2.87,1.43,2.67,1.37,0.94,2.32,1.19
Cagliari,26,27.4,45.6,31,341,2790,31.0,29,23,52,26,3,3,58,3,35.8,33.4,26.1,59.5,415,947,0.94,0.74,1.68,0.84,1.58,1.15,0.84,1.99,1.08
Como,38,27.0,54.2,31,341,2790,31.0,34,29,63,34,0,2,73,6,36.7,35.2,29.0,64.2,537,1083,1.1,0.94,2.03,1.1,2.03,1.18,0.93,2.12,1.14
Empoli,34,26.2,40.9,31,341,2790,31.0,23,14,37,21,2,3,53,4,26.8,24.4,19.0,43.4,343,795,0.74,0.45,1.19,0.68,1.13,0.86,0.61,1.48,0.79
Fiorentina,34,26.9,49.3,31,341,2790,31.0,47,31,78,41,6,8,65,2,40.0,33.7,27.8,61.5,503,1006,1.52,1.0,2.52,1.32,2.32,1.29,0.9,2.19,1.09
Genoa,34,27.1,45.8,31,341,2790,31.0,28,21,49,28,0,2,61,0,31.9,30.2,23.5,53.7,384,847,0.9,0.68,1.58,0.9,1.58,1.03,0.76,1.79,0.97
Hellas Verona,32,25.8,38.0,31,341,2790,31.0,27,17,44,25,2,2,80,8,29.0,27.4,21.3,48.7,373,809,0.87,0.55,1.42,0.81,1.35,0.93,0.69,1.62,0.88
Inter,25,30.1,59.5,31,341,2790,31.0,66,50,116,60,6,7,44,1,57.2,52.0,41.0,93.0,566,1439,2.13,1.61,3.74,1.94,3.55,1.84,1.32,3.17,1.68
Juventus,29,25.4,58.4,31,341,2790,31.0,45,30,75,40,5,5,52,1,42.1,38.3,28.9,67.2,678,1263,1.45,0.97,2.42,1.29,2.26,1.36,0.93,2.29,1.23
Lazio,27,27.9,54.2,31,341,2790,31.0,51,37,88,46,5,6,72,4,46.1,41.6,31.0,72.7,639,1240,1.65,1.19,2.84,1.48,2.68,1.49,1.0,2.49,1.34
Lecce,30,26.7,44.9,31,341,2790,31.0,22,17,39,20,2,3,50,5,28.8,26.6,20.7,47.3,442,887,0.71,0.55,1.26,0.65,1.19,0.93,0.67,1.6,0.86
Milan,34,26.4,54.6,31,341,2790,31.0,46,32,78,42,4,8,60,5,53.9,47.7,38.4,86.1,793,1377,1.48,1.03,2.52,1.35,2.39,1.74,1.24,2.98,1.54
Monza,35,27.6,47.7,31,341,2790,31.0,24,16,40,21,3,3,75,3,24.1,22.0,16.4,38.4,423,884,0.77,0.52,1.29,0.68,1.19,0.78,0.53,1.31,0.71
Napoli,26,29.3,53.5,30,330,2700,30.0,44,32,76,40,4,5,36,0,42.1,38.3,30.9,69.2,583,1256,1.47,1.07,2.53,1.33,2.4,1.4,1.03,2.43,1.28
Parma,32,24.6,45.2,31,341,2790,31.0,36,26,62,30,6,7,62,5,36.0,30.5,23.8,54.3,514,919,1.16,0.84,2.0,0.97,1.81,1.16,0.77,1.93,0.98
Roma,28,27.3,55.4,31,341,2790,31.0,45,27,72,38,7,7,56,1,45.3,39.8,29.3,69.1,580,1244,1.45,0.87,2.32,1.23,2.1,1.46,0.94,2.4,1.28
Torino,28,27.4,47.6,31,341,2790,31.0,33,21,54,32,1,3,68,3,27.1,24.8,17.4,42.2,431,909,1.06,0.68,1.74,1.03,1.71,0.87,0.56,1.44,0.8
Udinese,29,27.1,47.2,31,341,2790,31.0,36,24,60,34,2,4,72,4,31.0,27.8,21.7,49.5,456,938,1.16,0.77,1.94,1.1,1.87,1.0,0.7,1.7,0.9
Venezia,36,26.1,44.6,31,341,2790,31.0,23,12,35,19,4,5,65,1,27.6,23.7,16.6,40.3,407,869,0.74,0.39,1.13,0.61,1.0,0.89,0.53,1.42,0.77
