,id,name,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status
0,17259,Manuel Neuer,Goalkeeper,1986-03-27,38,['Germany'],193.0,right,2011-07-01,FC Schalke 04,2026-06-30,4000000.0,Team captain
1,468539,Daniel Peretz,Goalkeeper,2000-07-10,24,"['Israel', 'Germany']",190.0,right,2023-08-25,Maccabi Tel Aviv,2028-06-30,3000000.0,Kidney problems - Return unknown
2,607720,Jonas Urbig,Goalkeeper,2003-08-08,21,['Germany'],189.0,both,2025-01-27,1.FC Köln,2029-06-30,3000000.0,
3,40680,Sven Ulreich,Goalkeeper,1988-08-03,36,['Germany'],192.0,right,2021-07-01,Hamburger SV,2025-06-30,500000.0,
4,344695,Dayot Upamecano,Centre-Back,1998-10-27,26,"['France', 'Guinea-Bissau']",186.0,right,2021-07-05,RB Leipzig,2026-06-30,50000000.0,
5,503482,Min-jae Kim,Centre-Back,1996-11-15,28,"['Korea, South']",190.0,right,2023-07-18,: Ablöse €50.00m,2028-06-30,45000000.0,
6,353892,Hiroki Ito,Centre-Back,1999-05-12,25,['Japan'],188.0,left,2024-07-01,VfB Stuttgart,2028-06-30,30000000.0,
7,175722,Eric Dier,Centre-Back,1994-01-15,31,"['England', 'Portugal']",191.0,right,2024-07-01,Tottenham Hotspur,2025-06-30,8000000.0,
8,744729,Tarek Buchmann,Centre-Back,2005-02-28,19,"['Germany', 'Togo']",188.0,right,2023-07-01,: Ablöse -,2026-06-30,500000.0,
9,424204,Alphonso Davies,Left-Back,2000-11-02,24,"['Canada', 'Liberia']",185.0,left,2019-01-01,Vancouver Whitecaps FC,2030-06-30,50000000.0,
10,170986,Raphaël Guerreiro,Left-Back,1993-12-22,31,"['Portugal', 'France']",170.0,left,2023-07-01,Borussia Dortmund,2026-06-30,10000000.0,
11,483046,Josip Stanisic,Right-Back,2000-04-02,24,"['Croatia', 'Germany']",187.0,both,2021-08-01,: Ablöse -,2029-06-30,28000000.0,
12,475413,Sacha Boey,Right-Back,2000-09-13,24,['France'],178.0,right,2024-01-28,Galatasaray,2028-06-30,18000000.0,
13,161056,Joshua Kimmich,Defensive Midfield,1995-02-08,30,['Germany'],177.0,right,2015-07-02,VfB Stuttgart,2025-06-30,50000000.0,
14,792380,Aleksandar Pavlovic,Defensive Midfield,2004-05-03,20,"['Germany', 'Serbia']",188.0,both,2023-11-01,: Ablöse -,2029-06-30,50000000.0,
15,257455,João Palhinha,Defensive Midfield,1995-07-09,29,['Portugal'],190.0,right,2024-07-11,Fulham FC,2028-06-30,40000000.0,
16,223967,Konrad Laimer,Central Midfield,1997-05-27,27,['Austria'],180.0,right,2023-07-01,RB Leipzig,2027-06-30,25000000.0,
17,153084,Leon Goretzka,Central Midfield,1995-02-06,30,['Germany'],189.0,right,2018-07-01,FC Schalke 04,2026-06-30,22000000.0,
18,580195,Jamal Musiala,Attacking Midfield,2003-02-26,21,"['Germany', 'England']",184.0,right,2020-07-01,: Ablöse -,2030-06-30,140000000.0,
19,159471,Serge Gnabry,Left Winger,1995-07-14,29,"['Germany', ""Cote d'Ivoire""]",176.0,right,2017-07-01,SV Werder Bremen,2026-06-30,35000000.0,
20,243714,Kingsley Coman,Left Winger,1996-06-13,28,"['France', 'Guadeloupe']",181.0,right,2017-07-01,: Ablöse €21.00m,2027-06-30,35000000.0,
21,566723,Michael Olise,Right Winger,2001-12-12,23,"['France', 'England']",184.0,left,2024-07-07,Crystal Palace,2029-06-30,65000000.0,
22,192565,Leroy Sané,Right Winger,1996-01-11,29,"['Germany', 'France']",183.0,left,2020-07-15,Manchester City,2025-06-30,45000000.0,
23,58358,Thomas Müller,Second Striker,1989-09-13,35,['Germany'],185.0,right,2009-07-01,: Ablöse -,2025-06-30,6000000.0,
24,604327,Gabriel Vidovic,Second Striker,2003-12-01,21,"['Croatia', 'Germany']",180.0,right,2022-07-01,: Ablöse -,2026-06-30,3000000.0,
25,132098,Harry Kane,Centre-Forward,1993-07-28,31,['England'],188.0,right,2023-08-12,: Ablöse €95.00m,2027-06-30,90000000.0,Dead leg - Return unknown
26,550829,Matej Kovar,Goalkeeper,2000-05-17,24,['Czech Republic'],196.0,right,2023-08-15,Manchester United,2027-06-30,7000000.0,
27,48015,Lukas Hradecky,Goalkeeper,1989-11-24,35,"['Finland', 'Slovakia']",192.0,right,2018-07-01,Eintracht Frankfurt,2026-06-30,2000000.0,Team captain
28,85543,Niklas Lomb,Goalkeeper,1993-07-28,31,['Germany'],186.0,right,2012-07-01,Bayer 04 Leverkusen U19,2027-06-30,250000.0,
29,810826,Luca Novodomsky,Goalkeeper,2005-04-26,19,['Germany'],,,2024-07-01,Bayer 04 Leverkusen U19,2025-06-30,,
30,659813,Piero Hincapié,Centre-Back,2002-01-09,23,['Ecuador'],184.0,left,2021-08-16,CA Talleres,2029-06-30,40000000.0,
31,564545,Edmond Tapsoba,Centre-Back,1999-02-02,26,['Burkina Faso'],194.0,right,2020-01-31,Vitória Guimarães SC,2028-06-30,40000000.0,
32,196357,Jonathan Tah,Centre-Back,1996-02-11,29,"['Germany', ""Cote d'Ivoire""]",195.0,right,2015-07-16,: Ablöse €9.50m,2025-06-30,30000000.0,
33,919515,Jeanuël Belocian,Centre-Back,2005-02-17,20,"['France', 'Guadeloupe']",182.0,left,2024-07-01,Stade Rennais FC,2029-06-30,20000000.0,"Cruciate ligament tear - Return expected on Jun 30, 2025"
34,281769,Mario Hermoso,Centre-Back,1995-06-18,29,['Spain'],184.0,left,2025-01-31,AS Roma,2025-06-30,10000000.0,
