,id,name,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status
0,108390,Thibaut Courtois,Goalkeeper,1992-05-11,32,['Belgium'],200.0,left,2018-08-09,Chelsea FC,2026-06-30,25000000.0,
1,404839,Andriy Lunin,Goalkeeper,1999-02-11,26,['Ukraine'],191.0,right,2018-07-01,: Ablöse €8.50m,2030-06-30,20000000.0,
2,401530,Éder Militão,Centre-Back,1998-01-18,27,"['Brazil', 'Spain']",186.0,right,2019-07-01,FC Porto,2028-06-30,40000000.0,"Cruciate ligament tear - Return expected on Aug 1, 2025"
3,86202,Antonio Rüdiger,Centre-Back,1993-03-03,31,"['Germany', 'Sierra Leone']",190.0,right,2022-07-01,Chelsea FC,2026-06-30,24000000.0,
4,59016,David Alaba,Centre-Back,1992-06-24,32,['Austria'],180.0,left,2021-07-01,: Ablöse free transfer,2026-06-30,10000000.0,
5,935245,Raúl Asencio,Centre-Back,2003-02-13,22,['Spain'],184.0,right,2024-07-01,Real Madrid Castilla,2026-06-30,7500000.0,
6,251896,Jesús Vallejo,Centre-Back,1997-01-05,28,['Spain'],184.0,right,2015-07-31,Real Zaragoza,2025-06-30,1000000.0,
7,291417,Ferland Mendy,Left-Back,1995-06-08,29,"['France', 'Senegal']",180.0,left,2019-07-01,: Ablöse €48.00m,2028-06-30,18000000.0,
8,341264,Fran García,Left-Back,1999-08-14,25,['Spain'],169.0,left,2023-07-01,Rayo Vallecano,2027-06-30,15000000.0,
9,138927,Daniel Carvajal,Right-Back,1992-01-11,33,['Spain'],173.0,right,2013-07-01,Bayer 04 Leverkusen,2026-06-30,10000000.0,"Cruciate ligament tear - Return expected on Aug 1, 2025"
10,221316,Lucas Vázquez,Right-Back,1991-07-01,33,['Spain'],173.0,right,2015-07-02,RCD Espanyol Barcelona,2025-06-30,3500000.0,
11,413112,Aurélien Tchouaméni,Defensive Midfield,2000-01-27,25,"['France', 'Cameroon']",188.0,right,2022-07-01,AS Monaco,2028-06-30,80000000.0,
12,369081,Federico Valverde,Central Midfield,1998-07-22,26,"['Uruguay', 'Spain']",182.0,right,2018-07-01,Real Madrid Castilla,2029-06-30,130000000.0,
13,640428,Eduardo Camavinga,Central Midfield,2002-11-10,22,"['France', 'Congo']",182.0,left,2021-08-31,Stade Rennais FC,2029-06-30,80000000.0,
14,27992,Luka Modric,Central Midfield,1985-09-09,39,['Croatia'],172.0,right,2012-08-27,: Ablöse €35.00m,2025-06-30,5000000.0,Team captain
15,319745,Dani Ceballos,Central Midfield,1996-08-07,28,['Spain'],179.0,right,2017-07-14,Real Betis Balompié,2027-06-30,4000000.0,
16,581678,Jude Bellingham,Attacking Midfield,2003-06-29,21,"['England', 'Ireland']",186.0,right,2023-07-01,Borussia Dortmund,2029-06-30,180000000.0,"Red card suspension - until Mar 3, 2025 - LaLiga - 2 matchdays"
17,371998,Vinicius Junior,Left Winger,2000-07-12,24,"['Brazil', 'Spain']",176.0,right,2018-07-12,CR Flamengo,2027-06-30,200000000.0,
18,412363,Rodrygo,Right Winger,2001-01-09,24,"['Brazil', 'Spain']",174.0,right,2019-07-01,Santos FC,2028-06-30,100000000.0,
19,861410,Arda Güler,Right Winger,2005-02-25,19,['Türkiye'],175.0,left,2023-07-06,Fenerbahce,2029-06-30,45000000.0,
20,314678,Brahim Díaz,Right Winger,1999-08-03,25,"['Morocco', 'Spain']",170.0,both,2019-01-06,Manchester City,2027-06-30,35000000.0,
21,342229,Kylian Mbappé,Centre-Forward,1998-12-20,26,"['France', 'Cameroon']",178.0,right,2024-07-01,Paris Saint-Germain,2029-06-30,160000000.0,
22,971570,Endrick,Centre-Forward,2006-07-21,18,['Brazil'],173.0,left,2024-07-21,Sociedade Esportiva Palmeiras,2030-06-30,40000000.0,
23,74857,Marc-André ter Stegen,Goalkeeper,1992-04-30,32,['Germany'],187.0,right,2014-07-01,Borussia Mönchengladbach,2028-06-30,15000000.0,"Team captain; Patellar tendon rupture - Return expected on Jun 30, 2025"
24,283170,Iñaki Peña,Goalkeeper,1999-03-02,25,['Spain'],184.0,right,2022-01-30,FC Barcelona B,2026-06-30,10000000.0,
25,44058,Wojciech Szczesny,Goalkeeper,1990-04-18,34,['Poland'],195.0,right,2024-10-02,,2025-06-30,1000000.0,
26,962110,Pau Cubarsí,Centre-Back,2007-01-22,18,['Spain'],184.0,right,2024-01-01,FC Barcelona Atlètic,2029-06-30,70000000.0,
