,id,name,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status
0,238223,Ederson,Goalkeeper,1993-08-17,31,"['Brazil', 'Portugal']",188.0,left,2017-07-01,SL Benfica,2026-06-30,30000000.0,
1,85941,Stefan Ortega,Goalkeeper,1992-11-06,32,"['Germany', 'Spain']",185.0,right,2022-07-01,Arminia Bielefeld,2026-06-30,9000000.0,
2,14555,Scott Carson,Goalkeeper,1985-09-03,39,['England'],188.0,right,2021-07-20,Derby County,2025-06-30,200000.0,
3,258004,Rúben Dias,Centre-Back,1997-05-14,27,['Portugal'],187.0,right,2020-09-29,SL Benfica,2027-06-30,75000000.0,
4,284730,Manuel Akanji,Centre-Back,1995-07-19,29,"['Switzerland', 'Nigeria']",188.0,right,2022-09-01,Borussia Dortmund,2027-06-30,40000000.0,"Adductor injury - Return expected on Apr 21, 2025"
5,177476,Nathan Aké,Centre-Back,1995-02-18,30,"['Netherlands', ""Cote d'Ivoire""]",180.0,left,2020-08-05,AFC Bournemouth,2027-06-30,35000000.0,
6,186590,John Stones,Centre-Back,1994-05-28,30,['England'],188.0,right,2016-08-09,Everton FC,2026-06-30,32000000.0,Hamstring injury - Return unknown
7,1005575,Vitor Reis,Centre-Back,2006-01-12,19,['Brazil'],186.0,right,2025-01-21,Sociedade Esportiva Palmeiras,2029-06-30,14000000.0,
8,763079,Abdukodir Khusanov,Centre-Back,2004-02-29,20,['Uzbekistan'],186.0,right,2025-01-20,RC Lens,2029-06-30,12000000.0,
9,475959,Josko Gvardiol,Left-Back,2002-01-23,23,['Croatia'],185.0,left,2023-08-05,RB Leipzig,2028-06-30,75000000.0,
10,701057,Rico Lewis,Right-Back,2004-11-21,20,['England'],170.0,right,2022-07-01,Manchester City U18,2028-06-30,40000000.0,
11,357565,Rodri,Defensive Midfield,1996-06-22,28,['Spain'],191.0,right,2019-07-04,: Ablöse €70.00m,2027-06-30,130000000.0,"Cruciate ligament tear - Return expected on Apr 30, 2025"
12,601883,Matheus Nunes,Central Midfield,1998-08-27,26,"['Portugal', 'Brazil']",183.0,right,2023-09-01,Wolverhampton Wanderers,2028-06-30,40000000.0,
13,51471,Mateo Kovacic,Central Midfield,1994-05-06,30,['Croatia'],177.0,right,2023-07-01,Chelsea FC,2027-06-30,28000000.0,
14,466805,Nico González,Central Midfield,2002-01-03,23,['Spain'],188.0,right,2025-02-03,FC Porto,2029-06-30,18000000.0,
15,53622,İlkay Gündoğan,Central Midfield,1990-10-24,34,['Germany'],180.0,right,2024-08-23,FC Barcelona,2025-06-30,10000000.0,
16,241641,Bernardo Silva,Attacking Midfield,1994-08-10,30,['Portugal'],173.0,left,2017-07-01,: Ablöse €50.00m,2026-06-30,60000000.0,
17,88755,Kevin De Bruyne,Attacking Midfield,1991-06-28,33,['Belgium'],181.0,right,2015-08-30,VfL Wolfsburg,2025-06-30,35000000.0,Team captain
18,994536,Claudio Echeverri,Attacking Midfield,2006-01-02,19,['Argentina'],170.0,right,2024-01-25,CA River Plate,2028-06-30,18000000.0,Called up to national team -  - cross-competition
19,583199,James McAtee,Attacking Midfield,2002-10-18,22,['England'],180.0,left,2023-07-01,Manchester City U21,2026-06-30,14000000.0,
20,486049,Jérémy Doku,Left Winger,2002-05-27,22,"['Belgium', 'Ghana']",173.0,right,2023-08-24,Stade Rennais FC,2028-06-30,60000000.0,
21,203460,Jack Grealish,Left Winger,1995-09-10,29,"['England', 'Ireland']",180.0,right,2021-08-05,: Ablöse €117.50m,2027-06-30,45000000.0,
22,406635,Phil Foden,Right Winger,2000-05-28,24,['England'],171.0,left,2017-07-01,Manchester City U18,2027-06-30,140000000.0,
23,743591,Savinho,Right Winger,2004-04-10,20,['Brazil'],176.0,left,2024-07-18,ESTAC Troyes,2029-06-30,55000000.0,
24,661207,Oscar Bobb,Right Winger,2003-07-12,21,"['Norway', 'The Gambia']",175.0,left,2023-07-01,Manchester City U21,2029-06-30,25000000.0,"Broken leg - Return expected on Mar 1, 2025"
25,418560,Erling Haaland,Centre-Forward,2000-07-21,24,['Norway'],195.0,left,2022-07-01,Borussia Dortmund,2034-06-30,200000000.0,
26,445939,Omar Marmoush,Centre-Forward,1999-02-07,26,"['Egypt', 'Canada']",183.0,right,2025-01-23,Eintracht Frankfurt,2029-06-30,60000000.0,
27,262749,David Raya,Goalkeeper,1995-09-15,29,['Spain'],183.0,right,2024-07-04,Brentford FC,2028-06-30,40000000.0,
28,111819,Neto,Goalkeeper,1989-07-19,35,"['Brazil', 'Italy']",190.0,right,2024-08-30,AFC Bournemouth,2025-06-30,2000000.0,
29,495666,William Saliba,Centre-Back,2001-03-24,23,"['France', 'Cameroon']",192.0,right,2019-07-25,: Ablöse €30.00m,2027-06-30,80000000.0,
30,435338,Gabriel Magalhães,Centre-Back,1997-12-19,27,['Brazil'],190.0,left,2020-09-01,LOSC Lille,2027-06-30,75000000.0,
31,425918,Jakub Kiwior,Centre-Back,2000-02-15,25,['Poland'],189.0,left,2023-01-23,: Ablöse €19.50m,2028-06-30,28000000.0,
32,502821,Riccardo Calafiori,Left-Back,2002-05-19,22,['Italy'],188.0,left,2024-07-29,Bologna FC 1909,2029-06-30,45000000.0,
33,203853,Oleksandr Zinchenko,Left-Back,1996-12-15,28,['Ukraine'],175.0,left,2022-07-22,Manchester City,2026-06-30,30000000.0,
34,300716,Kieran Tierney,Left-Back,1997-06-05,27,"['Scotland', 'Isle of Man']",180.0,left,2019-08-08,Celtic FC,2025-06-30,10000000.0,
35,890721,Myles Lewis-Skelly,Left-Back,2006-09-26,18,"['England', 'Barbados']",178.0,left,2024-07-01,Arsenal FC U21,,10000000.0,
36,335721,Ben White,Right-Back,1997-10-08,27,['England'],186.0,right,2021-07-30,Brighton & Hove Albion,2028-06-30,55000000.0,
37,420243,Jurrien Timber,Right-Back,2001-06-17,23,"['Netherlands', 'Curacao']",179.0,right,2023-07-14,: Ablöse €40.00m,2028-06-30,45000000.0,
38,331560,Takehiro Tomiyasu,Right-Back,1998-11-05,26,['Japan'],188.0,right,2021-08-31,Bologna FC 1909,2026-06-30,32000000.0,"Knee surgery - Return expected on Oct 1, 2025"
39,230784,Thomas Partey,Defensive Midfield,1993-06-13,31,['Ghana'],185.0,right,2020-10-05,: Ablöse €50.00m,2025-06-30,15000000.0,
40,102017,Jorginho,Defensive Midfield,1991-12-20,33,"['Italy', 'Brazil']",178.0,right,2023-01-31,Chelsea FC,2025-06-30,10000000.0,
41,357662,Declan Rice,Central Midfield,1999-01-14,26,"['England', 'Ireland']",188.0,right,2023-07-15,West Ham United,2028-06-30,110000000.0,
42,338424,Mikel Merino,Central Midfield,1996-06-22,28,['Spain'],189.0,left,2024-08-27,Real Sociedad,2028-06-30,45000000.0,
43,316264,Martin Ødegaard,Attacking Midfield,1998-12-17,26,['Norway'],178.0,left,2021-08-20,Real Madrid,2028-06-30,110000000.0,Team captain
44,890719,Ethan Nwaneri,Attacking Midfield,2007-03-21,17,"['England', 'Nigeria']",176.0,left,2024-07-01,Arsenal FC U21,,30000000.0,
45,655488,Gabriel Martinelli,Left Winger,2001-06-18,23,"['Brazil', 'Italy']",178.0,right,2019-07-02,Ituano Futebol Clube (SP),2027-06-30,55000000.0,Hamstring injury - Return unknown
46,144028,Leandro Trossard,Left Winger,1994-12-04,30,['Belgium'],172.0,right,2023-01-20,Brighton & Hove Albion,2026-06-30,30000000.0,
47,433177,Bukayo Saka,Right Winger,2001-09-05,23,"['England', 'Nigeria']",178.0,left,2019-07-01,Arsenal FC U23,2027-06-30,150000000.0,"Hamstring injury - Return expected on Apr 1, 2025"
48,134425,Raheem Sterling,Right Winger,1994-12-08,30,"['England', 'Jamaica']",170.0,right,2024-08-30,Chelsea FC,2025-05-31,22000000.0,
49,309400,Kai Havertz,Centre-Forward,1999-06-11,25,['Germany'],193.0,left,2023-07-01,Chelsea FC,2028-06-30,75000000.0,"Hamstring injury - Return expected on Jun 30, 2025"
50,363205,Gabriel Jesus,Centre-Forward,1997-04-03,27,['Brazil'],175.0,right,2022-07-04,Manchester City,2027-06-30,45000000.0,"Cruciate ligament tear - Return expected on Jul 31, 2025"
