,id,name,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status
0,388516,Josep Martínez,Goalkeeper,1998-05-27,26,['Spain'],191.0,right,2024-07-09,Genoa CFC,2029-06-30,12000000.0,
1,42205,Yann Sommer,Goalkeeper,1988-12-17,36,['Switzerland'],183.0,right,2023-08-07,: Ablöse €6.90m,2026-06-30,4000000.0,"Broken thumb - Return expected on Mar 15, 2025"
2,70580,Raffaele Di Gennaro,Goalkeeper,1993-10-03,31,['Italy'],188.0,right,2023-07-13,AS Gubbio 1910,2025-06-30,300000.0,"Finger injury - Return expected on Feb 24, 2025"
3,315853,Alessandro Bastoni,Centre-Back,1999-04-13,25,['Italy'],190.0,left,2017-08-30,Atalanta BC,2028-06-30,75000000.0,
4,353366,Benjamin Pavard,Centre-Back,1996-03-28,28,['France'],186.0,right,2023-08-30,: Ablöse €31.40m,2028-06-30,40000000.0,
5,441986,Yann Bisseck,Centre-Back,2000-11-29,24,"['Germany', 'Cameroon']",196.0,right,2023-07-12,Aarhus GF,2029-06-30,30000000.0,
6,111196,Stefan de Vrij,Centre-Back,1992-02-05,33,['Netherlands'],189.0,right,2018-07-01,: Ablöse free transfer,2025-06-30,7000000.0,
7,131075,Francesco Acerbi,Centre-Back,1988-02-10,37,['Italy'],192.0,left,2023-07-01,SS Lazio,2026-06-30,3000000.0,
8,198116,Federico Dimarco,Left-Back,1997-11-10,27,['Italy'],175.0,left,2018-07-05,: Ablöse €5.00m,2027-06-30,60000000.0,
9,585982,Carlos Augusto,Left-Back,1999-01-07,26,"['Brazil', 'Italy']",184.0,left,2024-07-01,AC Monza,2028-06-30,22000000.0,Knock - Return unknown
10,321528,Denzel Dumfries,Right-Back,1996-04-18,28,"['Netherlands', 'Aruba']",188.0,right,2021-08-14,PSV Eindhoven,2028-06-30,20000000.0,
11,54906,Matteo Darmian,Right-Back,1989-12-02,35,['Italy'],183.0,right,2021-07-01,Parma Calcio 1913,2026-06-30,4000000.0,
12,126414,Hakan Çalhanoğlu,Defensive Midfield,1994-02-08,31,"['Türkiye', 'Germany']",178.0,right,2021-07-01,AC Milan,2027-06-30,40000000.0,
13,543771,Kristjan Asllani,Defensive Midfield,2002-03-09,22,"['Albania', 'Italy']",175.0,right,2023-07-01,FC Empoli,2028-06-30,18000000.0,
14,255942,Nicolò Barella,Central Midfield,1997-02-07,28,['Italy'],175.0,right,2020-09-01,Cagliari Calcio,2029-06-30,80000000.0,
15,394300,Davide Frattesi,Central Midfield,1999-09-22,25,['Italy'],178.0,right,2024-07-01,US Sassuolo,2028-06-30,32000000.0,
16,181136,Piotr Zieliński,Central Midfield,1994-05-20,30,"['Poland', 'Italy']",180.0,both,2024-07-01,SSC Napoli,2028-06-30,18000000.0,
17,55735,Henrikh Mkhitaryan,Central Midfield,1989-01-21,36,['Armenia'],177.0,both,2022-07-01,AS Roma,2026-06-30,5000000.0,
18,550108,Nicola Zalewski,Left Midfield,2002-01-23,23,['Poland'],175.0,right,2025-02-01,AS Roma,2025-06-30,10000000.0,
19,787618,Valentín Carboni,Attacking Midfield,2005-03-05,19,"['Argentina', 'Italy']",185.0,left,2022-07-01,Inter Milan Primavera,2029-06-30,12000000.0,"Cruciate ligament tear - Return expected on Jun 30, 2025"
20,227081,Joaquín Correa,Second Striker,1994-08-13,30,"['Argentina', 'Italy']",188.0,right,2022-07-01,SS Lazio,2025-06-30,3000000.0,
21,406625,Lautaro Martínez,Centre-Forward,1997-08-22,27,['Argentina'],174.0,right,2018-07-04,Racing Club,2029-06-30,100000000.0,Team captain
22,318528,Marcus Thuram,Centre-Forward,1997-08-06,27,"['France', 'Guadeloupe']",192.0,right,2023-07-01,Borussia Mönchengladbach,2028-06-30,75000000.0,Ankle problems - Return unknown
23,307058,Mehdi Taremi,Centre-Forward,1992-07-18,32,['Iran'],185.0,right,2024-07-13,FC Porto,2027-06-30,8000000.0,
24,41384,Marko Arnautovic,Centre-Forward,1989-04-19,35,"['Austria', 'Serbia']",190.0,both,2024-07-01,Bologna FC 1909,2025-06-30,3500000.0,
25,301238,Michele Di Gregorio,Goalkeeper,1997-07-27,27,['Italy'],187.0,right,2024-07-05,AC Monza,2025-06-30,18000000.0,
26,110923,Mattia Perin,Goalkeeper,1992-11-10,32,['Italy'],188.0,right,2018-07-01,: Ablöse €16.30m,2027-06-30,3000000.0,
27,75411,Carlo Pinsoglio,Goalkeeper,1990-03-16,34,['Italy'],194.0,left,2014-07-01,: Ablöse €800k,2026-06-30,200000.0,
28,516716,Bremer,Centre-Back,1997-03-18,27,['Brazil'],188.0,right,2022-07-20,Torino FC,2029-06-30,60000000.0,"Cruciate ligament tear - Return expected on Apr 25, 2025"
29,585949,Pierre Kalulu,Centre-Back,2000-06-05,24,"['France', 'DR Congo']",182.0,right,2024-08-21,AC Milan,2025-06-30,26000000.0,"Muscle injury - Return expected on Feb 28, 2025"
30,509022,Federico Gatti,Centre-Back,1998-06-24,26,['Italy'],190.0,right,2022-01-31,Frosinone Calcio,2028-06-30,25000000.0,
31,480116,Lloyd Kelly,Centre-Back,1998-10-06,26,"['England', 'Jamaica']",189.0,left,2025-02-03,Newcastle United,2025-06-30,18000000.0,
32,805714,Renato Veiga,Centre-Back,2003-07-29,21,['Portugal'],190.0,left,2025-01-27,Chelsea FC,2025-06-30,10000000.0,"Muscle injury - Return expected on Mar 11, 2025"
33,459658,Andrea Cambiaso,Left-Back,2000-02-20,25,['Italy'],182.0,both,2022-07-14,Genoa CFC,2029-06-30,40000000.0,
34,686965,Juan Cabal,Left-Back,2001-01-08,24,['Colombia'],186.0,left,2024-07-18,Hellas Verona,2029-06-30,9000000.0,"Cruciate ligament surgery - Return expected on May 28, 2025"
35,741090,Jonas Rouhi,Left-Back,2004-01-07,21,"['Sweden', 'Morocco']",183.0,left,2024-08-09,Juventus Next Gen,2028-06-30,2000000.0,
36,708072,Nicolò Savona,Right-Back,2003-03-19,21,['Italy'],192.0,right,2024-08-08,Juventus Next Gen,2029-06-30,14000000.0,
37,877139,Alberto Costa,Right-Back,2003-09-29,21,['Portugal'],186.0,right,2025-01-15,Vitória Guimarães SC,2029-06-30,1000000.0,
38,265088,Manuel Locatelli,Defensive Midfield,1998-01-08,27,['Italy'],185.0,right,2023-07-01,US Sassuolo,2028-06-30,28000000.0,
39,447661,Douglas Luiz,Central Midfield,1998-05-09,26,['Brazil'],177.0,right,2024-07-01,Aston Villa,2029-06-30,45000000.0,Muscle fatigue - Return unknown
40,463618,Khéphren Thuram,Central Midfield,2001-03-26,23,"['France', 'Guadeloupe']",192.0,right,2024-07-10,OGC Nice,2029-06-30,35000000.0,
41,332697,Weston McKennie,Central Midfield,1998-08-28,26,['United States'],185.0,right,2021-07-01,FC Schalke 04,2026-06-30,24000000.0,
42,360518,Teun Koopmeiners,Attacking Midfield,1998-02-28,26,['Netherlands'],184.0,left,2024-08-28,Atalanta BC,2029-06-30,50000000.0,
