names,urls
Max Aarons,/en/players/774cf58b/Max-Aarons
Joshua Acheampong,/en/players/b7e62e1d/Joshua-Acheampong
Tyler Adams,/en/players/2b09d998/Tyler-Adams
Tosin Adarabioyo,/en/players/c81d773d/Tosin-Adarabioyo
Simon Adingra,/en/players/4dcec659/Simon-Adingra
Emmanuel Agbadou,/en/players/75f1ed80/Emmanuel-Agbadou
Asher Agbinone,/en/players/6a10efb3/Asher-Agbinone
Ola Aina,/en/players/246d153b/Ola-Aina
Rayan Aït-Nouri,/en/players/9b398aea/Rayan-Ait-Nouri
Kristoffer Ajer,/en/players/a8c0acb7/Kristoffer-Ajer
Manuel Akanji,/en/players/89ac64a6/Manuel-Akanji
Nathan Aké,/en/players/eaeca114/Nathan-Ake
Carlos Alcaraz,/en/players/4abac767/Carlos-Alcaraz
Carlos Alcaraz,/en/players/4abac767/Carlos-Alcaraz
Trent Alexander-Arnold,/en/players/cd1acf9d/Trent-Alexander-Arnold
Alisson,/en/players/7a2e46a8/Alisson
Miguel Almirón,/en/players/862a1c15/Miguel-Almiron
Edson Álvarez,/en/players/8b3ab7ad/Edson-Alvarez
Will Alves,/en/players/39ef5a7b/Will-Alves
Samuel Amo-Ameyaw,/en/players/9eedf0e0/Samuel-Amo-Ameyaw
Mathis Amougou,/en/players/f93cca97/Mathis-Amougou
Joachim Andersen,/en/players/e34fc66d/Joachim-Andersen
Joachim Andersen,/en/players/e34fc66d/Joachim-Andersen
Elliot Anderson,/en/players/de31038e/Elliot-Anderson
André,/en/players/ec604e2c/Andre
Michail Antonio,/en/players/ac05f970/Michail-Antonio
Antony,/en/players/99127249/Antony
Julian Araujo,/en/players/8f4541c2/Julian-Araujo
Cameron Archer,/en/players/05e8ca6d/Cameron-Archer
Alphonse Areola,/en/players/2f965a72/Alphonse-Areola
Joe Aribo,/en/players/328f7d51/Joe-Aribo
Adam Armstrong,/en/players/68c720b5/Adam-Armstrong
Harrison Armstrong,/en/players/de59e609/Harrison-Armstrong
Kepa Arrizabalaga,/en/players/28d596a0/Kepa-Arrizabalaga
Marco Asensio,/en/players/45af8a54/Marco-Asensio
Brandon Austin,/en/players/5e253986/Brandon-Austin
Taiwo Awoniyi,/en/players/e5478b87/Taiwo-Awoniyi
Yasin Ayari,/en/players/f173303a/Yasin-Ayari
Jordan Ayew,/en/players/da052c14/Jordan-Ayew
Jordan Ayew,/en/players/da052c14/Jordan-Ayew
Benoît Badiashile,/en/players/06df8256/Benoit-Badiashile
Leon Bailey,/en/players/3a233281/Leon-Bailey
Carlos Baleba,/en/players/a1390d2f/Carlos-Baleba
Ross Barkley,/en/players/3a24769f/Ross-Barkley
Harvey Barnes,/en/players/3ea50f67/Harvey-Barnes
Calvin Bassey,/en/players/a36524bf/Calvin-Bassey
Jan Bednarek,/en/players/4115ce4e/Jan-Bednarek
Armel Bella Kotchap,/en/players/a39d11bc/Armel-Bella-Kotchap
Jean-Ricner Bellegarde,/en/players/10f0fdd3/Jean-Ricner-Bellegarde
Rodrigo Bentancur,/en/players/3b8674e6/Rodrigo-Bentancur
Sander Berge,/en/players/d0b6129f/Sander-Berge
Lucas Bergvall,/en/players/a109e5c8/Lucas-Bergvall
Victor Bernth Kristiansen,/en/players/505486d6/Victor-Bernth-Kristiansen
Beto,/en/players/ed5c0319/Beto
Philip Billing,/en/players/d328a254/Philip-Billing
Yves Bissouma,/en/players/6c203af0/Yves-Bissouma
Lamare Bogarde,/en/players/bca5c4a7/Lamare-Bogarde
Willy Boly,/en/players/a4ac4b8f/Willy-Boly
Sven Botman,/en/players/ccce7025/Sven-Botman
Jarrod Bowen,/en/players/79c84d1c/Jarrod-Bowen
Conor Bradley,/en/players/bbd67769/Conor-Bradley
Jarrad Branthwaite,/en/players/c1949191/Jarrad-Branthwaite
James Bree,/en/players/c07b7c5c/James-Bree
Ben Brereton,/en/players/57827369/Ben-Brereton
Nathan Broadhead,/en/players/43309491/Nathan-Broadhead
Armando Broja,/en/players/97220da2/Armando-Broja
David Brooks,/en/players/dc4cae05/David-Brooks
Emi Buendía,/en/players/66b76d44/Emi-Buendia
Santiago Bueno,/en/players/edc98fac/Santiago-Bueno
Facundo Buonanotte,/en/players/468a7a91/Facundo-Buonanotte
Cameron Burgess,/en/players/da61ca98/Cameron-Burgess
Dan Burn,/en/players/b2d31e83/Dan-Burn
Wes Burns,/en/players/b3fe23c6/Wes-Burns
Moisés Caicedo,/en/players/16264a81/Moises-Caicedo
Tom Cairney,/en/players/a8748947/Tom-Cairney
Jens Cajuste,/en/players/928a4a61/Jens-Cajuste
Riccardo Calafiori,/en/players/aded8e6f/Riccardo-Calafiori
Dominic Calvert-Lewin,/en/players/59e6e5bf/Dominic-Calvert-Lewin
Diego Carlos,/en/players/b4a014b1/Diego-Carlos
Fabio Carvalho,/en/players/966e28d0/Fabio-Carvalho
Casemiro,/en/players/4d224fe8/Casemiro
Kaelan Casey,/en/players/cd4b2c5f/Kaelan-Casey
Matty Cash,/en/players/2389cdc2/Matty-Cash
Timothy Castagne,/en/players/197640fd/Timothy-Castagne
Trevoh Chalobah,/en/players/5515376c/Trevoh-Chalobah
Trevoh Chalobah,/en/players/5515376c/Trevoh-Chalobah
Conor Chaplin,/en/players/4ec55b87/Conor-Chaplin
Federico Chiesa,/en/players/b0f7e36c/Federico-Chiesa
Ben Chilwell,/en/players/d2424d1b/Ben-Chilwell
Chiquinho,/en/players/dc6c2f02/Chiquinho
Hamza Choudhury,/en/players/7d2d3329/Hamza-Choudhury
Ryan Christie,/en/players/26ce2263/Ryan-Christie
Harry Clarke,/en/players/a64f2573/Harry-Clarke
Jack Clarke,/en/players/e16932d8/Jack-Clarke
Nathaniel Clyne,/en/players/0442183b/Nathaniel-Clyne
Conor Coady,/en/players/2928dca2/Conor-Coady
Séamus Coleman,/en/players/0420d84f/Seamus-Coleman
Nathan Collins,/en/players/a8c19eb8/Nathan-Collins
Toby Collyer,/en/players/4f9091bc/Toby-Collyer
Levi Colwill,/en/players/700783e7/Levi-Colwill
Lewis Cook,/en/players/2afc7272/Lewis-Cook
Maxwel Cornet,/en/players/beb391dd/Maxwel-Cornet
Vladimír Coufal,/en/players/fdf3cb77/Vladimir-Coufal
Woyo Coulibaly,/en/players/beb6e3a6/Woyo-Coulibaly
Aaron Cresswell,/en/players/4f974391/Aaron-Cresswell
Marc Cucurella,/en/players/1daec722/Marc-Cucurella
Jorge Cuenca,/en/players/0abc51f2/Jorge-Cuenca
Matheus Cunha,/en/players/dc62b55d/Matheus-Cunha
Patson Daka,/en/players/ca45605e/Patson-Daka
Diogo Dalot,/en/players/d9565625/Diogo-Dalot
Mikkel Damsgaard,/en/players/215f3907/Mikkel-Damsgaard
Danilo,/en/players/a816dbfb/Danilo
Jayden Danns,/en/players/003cf4d1/Jayden-Danns
Kevin Danso,/en/players/6e33125f/Kevin-Danso
Ben Davies,/en/players/44781702/Ben-Davies
Leif Davis,/en/players/8574c61f/Leif-Davis
Craig Dawson,/en/players/3e9e06cb/Craig-Dawson
Kevin De Bruyne,/en/players/e46012d4/Kevin-De-Bruyne
Liam Delap,/en/players/dd897ee7/Liam-Delap
Sepp van den Berg,/en/players/7bf9400b/Sepp-van-den-Berg
Justin Devenny,/en/players/6c2b66fc/Justin-Devenny
Kiernan Dewsbury-Hall,/en/players/5c74c0f5/Kiernan-Dewsbury-Hall
Amad Diallo,/en/players/9dc96f10/Amad-Diallo
Rúben Dias,/en/players/31c69ef1/Ruben-Dias
Luis Díaz,/en/players/4a1a9578/Luis-Diaz
Tyler Dibling,/en/players/bdcc89ae/Tyler-Dibling
Lucas Digne,/en/players/1b84dbe1/Lucas-Digne
Issa Diop,/en/players/a712ca2b/Issa-Diop
Axel Disasi,/en/players/ad82197c/Axel-Disasi
Axel Disasi,/en/players/ad82197c/Axel-Disasi
Roman Dixon,/en/players/6fba4dba/Roman-Dixon
Nasser Djiga,/en/players/1a7a4d84/Nasser-Djiga
Matt Doherty,/en/players/d557d734/Matt-Doherty
Jeremy Doku,/en/players/fffea3e5/Jeremy-Doku
Nicolás Domínguez,/en/players/20b3a502/Nicolas-Dominguez
Patrick Dorgu,/en/players/e6536124/Patrick-Dorgu
Alfie Dorrington,/en/players/ac1ef440/Alfie-Dorrington
Abdoulaye Doucouré,/en/players/02b29014/Abdoulaye-Doucoure
Cheick Doucouré,/en/players/ce4f40c7/Cheick-Doucoure
Flynn Downes,/en/players/69fdb896/Flynn-Downes
Tommy Doyle,/en/players/5526deb1/Tommy-Doyle
Radu Drăgușin,/en/players/620922ed/Radu-Dragusin
Martin Dúbravka,/en/players/3a949a25/Martin-Dubravka
Lewis Dunk,/en/players/282f75f3/Lewis-Dunk
Jáder Durán,/en/players/414184f7/Jader-Duran
Ederson,/en/players/3bb7b8b4/Ederson
George Edmundson,/en/players/46ff3923/George-Edmundson
Odsonne Édouard,/en/players/0562b7f1/Odsonne-Edouard
Odsonne Édouard,/en/players/0562b7f1/Odsonne-Edouard
Samuel Edozie,/en/players/007414dd/Samuel-Edozie
Ronnie Edwards,/en/players/be90c4b0/Ronnie-Edwards
Anthony Elanga,/en/players/2fba6108/Anthony-Elanga
Harvey Elliott,/en/players/b9e1436c/Harvey-Elliott
Yunus Emre Konak,/en/players/e02b5b36/Yunus-Emre-Konak
Julio Enciso,/en/players/9cfbad36/Julio-Enciso
Julio Enciso,/en/players/9cfbad36/Julio-Enciso
Wataru Endo,/en/players/c149016b/Wataru-Endo
Christian Eriksen,/en/players/980522ec/Christian-Eriksen
Romain Esse,/en/players/87189f25/Romain-Esse
Pervis Estupiñán,/en/players/d38fdf53/Pervis-Estupinan
Evanilson,/en/players/6f3cc2fe/Evanilson
Jonny Evans,/en/players/f8fcd2a5/Jonny-Evans
Eberechi Eze,/en/players/ae4fc6a4/Eberechi-Eze
Łukasz Fabiański,/en/players/9328b835/Lukasz-Fabianski
Wout Faes,/en/players/9c221d14/Wout-Faes
Abdul Fatawu Issahaku,/en/players/bceda5ff/Abdul-Fatawu-Issahaku
João Félix,/en/players/8aafd64f/Joao-Felix
Evan Ferguson,/en/players/4596da74/Evan-Ferguson
Evan Ferguson,/en/players/4596da74/Evan-Ferguson
Bruno Fernandes,/en/players/507c7bdf/Bruno-Fernandes
Mateus Fernandes,/en/players/ef491564/Mateus-Fernandes
Enzo Fernández,/en/players/5ff4ab71/Enzo-Fernandez
Mark Flekken,/en/players/a92ab7be/Mark-Flekken
Phil Foden,/en/players/ed1e53f3/Phil-Foden
Wesley Fofana,/en/players/132a82f1/Wesley-Fofana
Carlos Forbs,/en/players/8a310070/Carlos-Forbs
Fraser Forster,/en/players/c3e39f12/Fraser-Forster
Ryan Fraser,/en/players/d56543a0/Ryan-Fraser
Niclas Füllkrug,/en/players/4f16405e/Niclas-Fullkrug
Cody Gakpo,/en/players/1971591f/Cody-Gakpo
Idrissa Gana Gueye,/en/players/72c812f3/Idrissa-Gana-Gueye
Andrés García,/en/players/40498af1/Andres-Garcia
Alejandro Garnacho,/en/players/7aa8adfe/Alejandro-Garnacho
James Garner,/en/players/4e015693/James-Garner
Tyrique George,/en/players/e6f7797e/Tyrique-George
Morgan Gibbs-White,/en/players/32f60ed8/Morgan-Gibbs-White
Billy Gilmour,/en/players/df10e27c/Billy-Gilmour
Ben Godfrey,/en/players/9f7c837d/Ben-Godfrey
Martial Godo,/en/players/e0eea46f/Martial-Godo
João Gomes,/en/players/8b57ad2c/Joao-Gomes
Rodrigo Gomes,/en/players/8dcf77c0/Rodrigo-Gomes
Toti Gomes,/en/players/f0caab96/Toti-Gomes
Diego Gómez,/en/players/916728da/Diego-Gomez
Joe Gomez,/en/players/7a11550b/Joe-Gomez
Nicolás González,/en/players/2c56a792/Nicolas-Gonzalez
Anthony Gordon,/en/players/2bd83368/Anthony-Gordon
Ryan Gravenberch,/en/players/b8e740fb/Ryan-Gravenberch
Archie Gray,/en/players/f58515f5/Archie-Gray
Jack Grealish,/en/players/b0b4fd3e/Jack-Grealish
Jacob Greaves,/en/players/1f169636/Jacob-Greaves
Brajan Gruda,/en/players/ae9b998d/Brajan-Gruda
Albert Grønbaek,/en/players/0da5076f/Albert-Gronbaek
Gonçalo Guedes,/en/players/e6bc67d7/Goncalo-Guedes
Marc Guéhi,/en/players/d0706b27/Marc-Guehi
Luis Guilherme,/en/players/b7672d43/Luis-Guilherme
Bruno Guimarães,/en/players/82518f62/Bruno-Guimaraes
Marc Guiu,/en/players/d3d774cc/Marc-Guiu
İlkay Gündoğan,/en/players/819b3158/Ilkay-Gundogan
Malo Gusto,/en/players/d56b9520/Malo-Gusto
Joško Gvardiol,/en/players/5ad50391/Josko-Gvardiol
Erling Haaland,/en/players/1f44ac21/Erling-Haaland
Lewis Hall,/en/players/da011f18/Lewis-Hall
Ali Al Hamadi,/en/players/8450467d/Ali-Al-Hamadi
Marcus Harness,/en/players/90e9ca3d/Marcus-Harness
Jack Harrison,/en/players/aa849a12/Jack-Harrison
Taylor Harwood-Bellis,/en/players/47327321/Taylor-Harwood-Bellis
Kai Havertz,/en/players/fed7cb61/Kai-Havertz
Jan Paul van Hecke,/en/players/4fd08daa/Jan-Paul-van-Hecke
